,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
13573,13574,Coconut Oil - 100 % Pure,Beauty & Hygiene,Hair Care,Parachute ,32.0,32.0,Hair Oil & Serum,4.3,"Parachute Advansed Deep Conditioning Hot Oil Contains Coconut Oil Enriched With Ayurvedic Warming Oils Of Malakangiri & Piper Nigrum.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
13660,13661,"Hair Vital Bioactive Oil With Olive, Castor, Almond, Jojoba, Rosemary, Tea Tree",Beauty & Hygiene,Hair Care,StBotanica,899.0,899.0,Hair Oil & Serum,4.6,"St. Botanica Hair Vital Oil comes with the goodness of natural and pure oils, like Olive, Castor, Almond, Jojoba, Rosemary, Tea Tree, which have been proven excellent for hair It nourishes deeply and repairs the surface lipid layer of hair to reduce frizz, enhance softness and improve manageability. It’s an ideal choice for those looking to tame thick, curly or frizzy hair. It is natural hair oil, meaning the least processed, comes packed with several of the vitamins and micro-nutrients that are found in food. So, it is basically hair food. It boosts blood circulation in the scalp."
14118,14119,Silk N Shine Hair Serum,Beauty & Hygiene,Hair Care,Hair & Care,215.0,215.0,Hair Oil & Serum,4.4,"Hair & Care is youth and contemporary teenage girl's choice as she takes her first steps into the adult world. Hair & Care Silk n Shine Hair Serum offers you the confidence of parlour-like transformed hair with Silk-n Shine leave-in conditioner-So Girls Try on some New Hairstyles! Enriched with the natural goodness of Fruit Vitamins, coats each strand, detangles knots, and makes your hair soft, smooth, and silky."
14512,14513,Advansed Aloe Vera Enriched Coconut Hair Oil,Beauty & Hygiene,Hair Care,Parachute ,157.7,166.0,Hair Oil & Serum,4.4,"Give your hair the love it deserves with Parachute Advanced Aloe Vera Enriched Coconut Hair Oil. It's a new combination of 'miracle plant' Aloe Vera and pure Coconut oil that provides irresistible softness and strength to your hair which in turn prevents breakage and repairs dryness leaving them smooth and healthy. It is also so light and non-sticky that it suits all hair types
Aloe Vera moisturizes and conditions hair from within, making it soft and silky from its core. On the other hand, coconut oil is a hair growth oil that provides deep nourishment making hair long and strong. All in all, your hair will feel stronger, softer and silkier!   You can lightly apply in your hair post-hair-wash as well for a conditioned and manageable hair look, all day long."
14970,14971,Hair Oil - Brahmi Jaborandi,Beauty & Hygiene,Hair Care,Richfeel,755.0,755.0,Hair Oil & Serum,5.0,"Richfeel bramhi jabrondi hair oil enriched with the goodness of brahmi and jabrodi. It is a hair & scalp nourisher which is a prerequistie for healthy hair. 

Brahmi is a traditional indian herb known to be an ayurvedic remedy for hair problems. Jaborandi is an herbal plant from amazonian tropical forests, known to solve many hair problems.

Benefits of brahmi - 
moisturizes hair
nourishes the roots well and accelerates hair growth by thickening the roots. 
helps keep the scalp cool
strengthens the hair follicles
treats split ends
restores its lost lustre
adds volume and bounce to hair texture
prevents dandruff
reduces hairfall

Benefits of jabrondi - 
helps in hair growth
improves dry scalp
prevents premature greying of hair
relaxes your brain
removes dandruff
moisturizes hair  For Beauty tips, tricks & more visit https://bigbasket.blog/"
15097,15098,Flake Clean Hair Oil - Anti Dandruff Solution,Beauty & Hygiene,Hair Care,Aroma Treasures,288.9,321.0,Hair Oil & Serum,5.0,"This Anti-dandruff oil helps in controlling flaking, scaling, and itching. It has a Soothing, Balancing and Moisturizing effect on the scalp. It promotes a healthy scalp by relieving the irritation caused by itchiness."
15179,15180,Amla Hair Repair Serum,Beauty & Hygiene,Hair Care,INATUR ,400.0,500.0,Hair Oil & Serum,5.0,"Inatur Hair Repair Amla Glossy Serum is a brilliant hairspray with natural oils that hydrates hair to prevent moisture loss & split ends. It helps to daily style to dull, dry and damaged hair making them soft and manageable."
15208,15209,Red Onion Hair Growth Oil,Beauty & Hygiene,Hair Care,Oriental Botanics,549.0,549.0,Hair Oil & Serum,4.6,"Getting luscious hair and being free of hair-fall is done best with a multi-product approach. A combination of ingredients, a regimen, improves the effectiveness and potency of your treatment by up to three times! Onion juice helps improve hair growth by boosting the level of an antioxidant enzyme catalase. It helps nourish your hair follicles with its rich content of sulfur. The rich sulfur content also helps minimize hair thinning and breakage. Onion’s rich antibacterial properties along with other oils help keep your scalp healthy and free of infection, promoting hair growth. Oriental Red Onion Hair Growth Oil stimulates your scalp and improves the circulation of blood, resulting in it follicles that are well-nourished. Oriental Botanics Red Onion Hair Growth Oil is formulated with 30 essential ingredients known to significantly boost hair growth. It immediately lubricates the hair follicles and scalp bed. Moisturizes the hair strands and the scalp, and penetrates deep into the hair follicle to start working. It infuses quick-absorbing & beneficial herbs onto your scalp, stimulating hair growth Sulphur is the building block of hair. Onions being a rich source of sulphur help in providing the required nourishment and help in hair growth. It also offers antibacterial properties. Fortified with extracts such as Curry Leaf, Brahmi, Gotu Kola and Vitamin E."
15394,15395,Amla Hair Oil - Sarson,Beauty & Hygiene,Hair Care,Dabur Amla,135.0,150.0,Hair Oil & Serum,4.5,"Don't we all love those days when we're at home, with no thoughts buzzing in our wired brains, enjoying a nice oil massage by a good old Tai teleporting you back to such beloved moments? Dabur Sarson Amla Hair Oil comes in with its non-sticky charm."
15515,15516,"Oil - Ayurvedic, Cool",Beauty & Hygiene,Hair Care,Navratna,295.0,295.0,Hair Oil & Serum,4.4,"An ayurvedic oil made from a unique blend of nine ayurvedic herbs delivers superlatively desired benefits of relaxation and rejuvenation. | Contains the goodness of Sesame oil, Japa, Bringhraj, Brahmi, Amla, Thyme and Rosemary Oil. | Helps to relieve headache, fatigue, tension and sleeplessness. | Gives relief from specific hair and body related ailments."
15705,15706,Grapeseed Oil Smoothing Hair Serum - Leave-On,Beauty & Hygiene,Hair Care,Aloe Veda,351.0,390.0,Hair Oil & Serum,4.7,"This instant soothing serum for smooth, soft and shiny hair is not greasy and is long lasting. It is easily set the brittle and rough hair and makes it manageable. The serum lasts in any weather. This serum seals the hair strands and protects it from becoming rough and unmanageable."
15946,15947,Hair Fall Control Serum,Beauty & Hygiene,Hair Care,Dr.Batra'S,281.25,625.0,Hair Oil & Serum,4.5,"Dr Batra’s Hair Fall Control Serum contains Watercress, Indian Cress, Heena and Amla. Henna restores the acid-alkaline balance of the scalp without affecting the natural balance of the hair. Amla adds softness to the hair and provides nourishment. The Serum helps to prolong the life cycle of hair. It stimulates hair growth and regains vitality of hair which makes hair strong. It controls hair fall & breakage. The shampoo is formulated with natural actives. The proportion of surfactants in Dr Batra’s Serum is much lower, as compared to other cosmetic products, thus protecting the scalp and hair from chemical damage.This serum does not contain SLS & Paraben (a very harmful and carcinogenic). All Dr Batra’s Products are formulated with natural actives. The proportion of surfactants in Dr Batra’s Hair Care Products is much lower, as compared to other cosmetic products, thus protecting the scalp and hair from chemical damage. These products do not contain SLS & Paraben (a very harmful and carcinogenic)."
16186,16187,Oil - Kesh Kanti,Beauty & Hygiene,Hair Care,Patanjali,130.0,130.0,Hair Oil & Serum,4.4,"Provide deep nourishment and strengthen the hair roots, prevent hair fall and dandruff, prevent graying hair and split ends. Useful in sleeplessness and headache.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
16491,16492,"Moroccan Argan Hair Oil - Jojoba, Almond, Castor, Olive, Avocado, Rosemary Oils",Beauty & Hygiene,Hair Care,StBotanica,699.0,699.0,Hair Oil & Serum,4.3,"St Botanica Moroccan Argan Hair Growth Oil is the one-stop solution for your all-too-common hair health issues. Now  the time for beautifully restored and completely nourished hair. Bring back to life limp dry hair. Create lustrous, full volume. Tame frizzy unmanageable hair. From root to tip, St Botanica Moroccan Argan Hair Growth Oil feeds your hair with 100% plant oils that are essential for complete hair health. Impressive results for the hair you deserve. 100% Vegan Plant-based Oils include + Jojoba Oil strengthens the hair fibers from the inside out and moisturizes them. Moroccan Argan Oil - Liquid Gold oil, effectively create a tight seal for your hair cuticle. Sesame Oil, prevents hair thinning and foster healthy hair luster and full texture. Grapeseed Oil, provides nourishment from the root of every strand while also sealing in moisture. Rosemary Oil - For hair nourishment and hair growth. Gives shiner, healthier hair. Avocado Oil - Replenishes the Hair with Vitamins for overall hair growth. Castor Oil - Recommended for hair strength and prevent hair loss. Coconut Oil - Rich in fatty acids that nourish and moisturize the scalp and hair. TeaTree Oil - Naturally soothes the itchy scalp and prevents many hair problems such as dandruff. Natural Extracts - Bhringraj, Shikakai, Brahmi, Ashwagandha, Amla.Methi - are known to promote hair growth, reduce hair fall, strengthen hair roots &amp; to control premature greying of hair. Methi is also one of the best solutions for dandruff and is known for its ability to boost scalp health."
16597,16598,Extra Virgin Organic Coconut Oil,Beauty & Hygiene,Hair Care,Kama Ayurveda,725.0,725.0,Hair Oil & Serum,4.4,"A highly versatile oil that can be used to condition the skin and hair. An ideal moisturiser for the body, it makes the skin smooth and even textured. Applied directly to the skin or hair before washing, Coconut oil makes a very effective conditioning treatment, it soothes dry & sensitive skin or scalp and adds lustre to damaged hair. This oil is highly recommended for baby massages. This Extra Virgin Coconut Oil is 100% organic, pure and cold pressed (processed without heat) to retain its unique balance of nutrients."
17253,17254,"Advanced Therapy Hair Oil - Anti-Hair Fall, Hair Loss & Hair Repair",Beauty & Hygiene,Hair Care,Morpheme Remedies,649.0,649.0,Hair Oil & Serum,5.0,"Morpheme Advanced Therapy Hair Oils is ideal for taming rough, dry, frizzy and unmanageable hair. It helps keep the skin cells live and repairs as well as prevents the occurrence of split ends. It is ideal for chemically treated rough lifeless hair, regular use adds lustre and volume. It protects and repairs hair fibres. It helps control premature hair fall and hair thinning. It leads to soft and shiny radiant hair. It helps strengthen the hair. It should be used on regular basis for best and noticeable results. It is made from cold pressed, pure & natural oils."
17780,17781,Bio Mountain Ebony - Fresh Growth Stimulating Vitalising Serum,Beauty & Hygiene,Hair Care,BIOTIQUE,138.0,185.0,Hair Oil & Serum,4.2,"Biotique Bio Mountain Ebony Fresh Growth Stimulating Serum is a valuable, flowering hardwood tree that grows in the mountains and is known for its exciting and remedial properties. Besides, other helpful ingredients in the serum contain long pepper, glycyrrhizin as well as the euphorbia tree which is useful in promoting new and well hair development. Stimulates hair, from root to tip and leaves scalp feeling toned, exhilarated, free from dryness and irritation"
17806,17807,Organics Hair Oil - Karippan Thailam,Beauty & Hygiene,Hair Care,18 Herbs,210.0,210.0,Hair Oil & Serum,4.7,"Make your hair healthy and strong with the K-oil of 18 herbs. Crafted after years of research conducted by scientists, this oil takes away all your hair woes and worries."
17902,17903,Hair Oil - Almond Drops,Beauty & Hygiene,Hair Care,Bajaj,261.0,290.0,Hair Oil & Serum,4.4,"Oiling need no longer be a hassle with the light and non-sticky Bajaj Almond Drops Hair oil. It is enriched with almond oil & 300% Vitamin E# to give you strong^ hair. 
Almond oil is one of the best hair oils for hair growth. Among the many almond oil benefits, it also helps nourish your scalp and keep it moisturized. It is one of the best non-sticky hair oils to add that glossy sheen to your hair. 
Vitamin E helps stimulate hair follicles, nourishes and strengthens hair. With 300% Vitamin-E#, Bajaj Almond Drops is one of the best hair oils for your hair and will help ensure that your hair is always manageable and smooth. The Vitamin-E will help to make your hair stronger and protect your scalp 
So avoid that ‚¬Å“Chipku‚¬ look, try Bajaj Almond Drops Non Sticky Hair Oil; available in multiple size packs and will help give you that light feeling of freedom.
#as compared to unbranded sweet almond oil. 
^based on study done on untreated hair by an independent external laboratory"
18008,18009,Advansed Gold Coconut Hair Oil,Beauty & Hygiene,Hair Care,Parachute ,189.2,215.0,Hair Oil & Serum,4.2,"Your hair is a reflection of who you are. It’s your identity. And this beautiful relationship deserves care and nourishment. Parachute Advansed Gold strengthens this relationship through deep nourishment with the goodness of Pure Coconut Oil, and Vitamin E so that you get long, strong & gorgeous hair. Vitamin E’s natural anti-oxidant properties improve hair and scalp health. Pure Coconut oil provides a protective layer, moisturizes and softens your hair, reduces breakage, and protects it from protein loss and environmental damages like wind, sun and smoke. 
Made with the highest quality standards, every coconut that goes into Parachute Advansed Gold Hair Oil is handpicked and sun-dried to ensure a fresh & natural, long-lasting aroma. It is free from parabens, sulfates, mineral oil and silicones. Give your hair the best nourishment with Parachute Advansed Gold Hair Oil, and see them grow long, strong and gorgeous."
18134,18135,Anti Hair Fall Oil,Beauty & Hygiene,Hair Care,Himalaya,207.0,230.0,Hair Oil & Serum,4.2,"Prevents hair Fall and stimulates hair growth, Contain Bhringaraja and Amalaki, Proven hair growth promoters, Methi which is rich in lecithin and proteins that nourish the hair roots, Neem and Bilva prevents Scalp infection and keep hair healthy, Nourishes the hair roots, Reduces problems like hair fall & split ends, Moisturizes the scalp and hair, Prevents dryness & hair damage.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
18941,18942,"Hair Oil - For Strong, Long & Thick Hair",Beauty & Hygiene,Hair Care,Dabur Amla,233.75,275.0,Hair Oil & Serum,4.5,"Dabur Amla Hair Oil infuses your hair with strength, thanks to Amla extract which is renowned as the power fruit for hair. Dabur Amla hair oils penetrate well into your scalp, nourishes your scalp & hair with the power of Amla. Dabur Amla helps make your hair strong from the roots, helps in hair growth to give stronger, longer & thicker hair. It is a beneficial product for scalp health and Amla has been traditionally used as a hair tonic. Strengthen your hair from roots to tips!"
19163,19164,"Shanti Amla & Badam Hair Oil - For Black, Silky & Stronger Hair",Beauty & Hygiene,Hair Care,Nihar,72.0,90.0,Hair Oil & Serum,4.2,"Made with Amla and Badaam hair oil, Nihar Shanti Amla nourishes your hair and gives them the care and protection they deserve. This unique mix of ingredients comes with multiple benefits and nutrients that work in unison and helps to keep your hair black, shiny, smooth and long.
Nihar Shanti Amla is the No. 1 hair oil in the country. Our belief system can be summarized in four simple words “Look Good, Do Good” and we continuously strive to be good for you and do good for those around us.  Nihar Shanti Amla is the largest selling hair oil in the country by volumes and has always been an ally to progress by making sure that five percent of our profits are contributed towards educating and empowering children. These programs are run across various states in India and they provide means of progress and open new avenues of learning for underprivileged children present in these states. We make sure that we not only nourish your hair but also enable you and other women to be active agents of change and contribute to society. *By volumes"
19185,19186,Pure Coconut Oil,Beauty & Hygiene,Hair Care,Parachute ,242.73,261.0,Hair Oil & Serum,4.3,"Parachute Coconut oil is India’s No.1 coconut oil that contains the goodness of 100% pure coconut oil. It is made from naturally sun-dried coconuts sourced from the finest farms of our country. The oil is extracted from the nuts through a meticulous hands free process. It goes through a 5 stage purification process and as many as 27 quality tests are performed on the oil so that each bottle that reaches you is 100% pure- EVERY SINGLE TIME.
A tamper-proof seal ensures that the rich aroma of raw coconuts is preserved for a long time. It contains no added chemicals, scent, additives or preservatives and lasts fresh & safe for up to 18 months. It is licensed by FSSAI as an edible grade coconut oil. All this ensures that every bottle of coconut oil adheres to the Parachute promise of being 100% safe and 100% pure. Parachute coconut oil is now available in convenient sizes of 1 Litre and 600ml packs. Parachute Coconut Oil comes from the house of Marico. Marico sells more than 1 billion packs of coconut oil every year."
19514,19515,Bhringraj Hair Oil,Beauty & Hygiene,Hair Care,Just Herbs,235.0,235.0,Hair Oil & Serum,5.0,"Bhringraj oil is an ancient formulation of therapeutic herbs which help invigorate and revitalize the scalp thus stimulating the hair follicles for more healthy new growth of hair. Hot oil deep conditioning treatment with this oil helps prevent hair fall, dandruff and delays graying. It also helps hair becoming naturally black and luminously shiny. An excellent tonic for the Nervous System, it also promotes sound sleep."
19742,19743,Sukesha Taila - for Healthy Hair,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,130.0,130.0,Hair Oil & Serum,4.5,"Sukesha Taila is a fine blend of 3 oil, essential for maintaining healthy hair and controlling hair damage, It also contains herbs which are estabilshed for reviving and vitalizing hair root, hair follicle and the layersof hair, Indicated for Dandruff, Alopecia, Scalp Psorisasis, Scalp Dryness and Scalp Itching.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
20395,20396,Serum for Dry & Rough Hair,Beauty & Hygiene,Hair Care,Livon Serum,120.0,150.0,Hair Oil & Serum,4.3,"Livon Serum for Rough and Dry Hair has been specially crafted for dry, rough & excessively frizzy hair which is unmanageable & so hard to control! Enriched with rich Moroccan Argan Oil extracts, it moisturizes hair intensely without any limpness, cutting away all the frizz, brings back volume control and gives an intense smoothness that lasts for 24 hours!
It forms a lubricious layer on the hair to make dry and rough hair smooth and silky. Now let those locks loose and flaunt that salon finish! Dull? Dry? Rough? You are going to be waving goodbye to all of these along with all your worries because Livon Serum for Rough and Dry Hair is going to pour life into those locks instantly."
20415,20416,Almond Oil - Roghan Badam Shirin,Beauty & Hygiene,Hair Care,Hamdard,220.0,220.0,Hair Oil & Serum,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo"
20556,20557,Hair Oil - 7 in 1,Beauty & Hygiene,Hair Care,Emami,63.0,63.0,Hair Oil & Serum,4.3,"Emami after years of research has brought to you a breakthrough in hair oils - a unique combination of 7 oils- that will repair hair damage.Ãƒ€šÃ‚ This extra ordinary oil, co-created by Indian and International Hair Experts, provides incredible nourishment to hair without weighing it down. This oil with a pleasant fragrance can be used on hair types.  For Beauty tips, tricks & more visit http://lookbeautiful.in/"
20557,20558,Aloe Vera Hair Oil - Long & Strong Hair,Beauty & Hygiene,Hair Care,Dabur Amla,95.0,95.0,Hair Oil & Serum,4.3,"Dabur Amla Aloe Vera Hair Oil keeps your scalp healthy & hair hydrated, moisturized and nourished for a beautiful, glowing and youthful effect. Power of Amla for the long and strong hair, and nourishment of Aloe vera for the gorgeous soft & silky hair. One hair oil with two super ingredients: Amla and aloe vera for complete nourishment of your hair to give you strong, silky & shiny tresses."
20603,20604,Bhringraj Hair Oil - Pure Coldpressed & Undiluted Oil,Beauty & Hygiene,Hair Care,Morpheme Remedies,1099.0,1099.0,Hair Oil & Serum,4.5,"Bhringraj Oil is useful in case of premature greying of hair and to promote natural hair growth. Regular use of this oil helps to restore the natural texture of your hair and adds lustre, volume and colour. It also benefits those who suffer from dandruff, premature balding and dryness of the scalp. It nourishes the scalp and prevents split ends. Bhringraj is an ancient herb rich in proteins, used for centuries to prevent hair loss and greying. It helps to nourish and rejuvenate hair follicles and prevents discolouration of hair. Nourishes scalp and hair root to promote hair growth. Vitamins, fatty acids, essential minerals and nutrients rich Bhringraj works great in cooling your body and restoring moisture to your skin. This carrier oil remedy is perfect for all types of hair and skin."
20686,20687,Naturals Bhringraj Hair Oil,Beauty & Hygiene,Hair Care,Dabur Vatika,191.25,225.0,Hair Oil & Serum,4.3,"The new Dabur Vatika Naturals Bhringraj Hair Oil is infused with 7 Ayurvedic herbs. It is specifically formulated for the Indian woman and her hair issues of weak fall. This hair oil helps get thick and long hair, thus promoting hair growth. Bringhraj, also known as ‘Keshraj' is an effective hair growth promoter that activates resting dermal papilla cells on the scalp. This induces the hair growth phase and increases hair density. Our Sourcing Process, Sourced from the best in the world, Bringhraj from India aids hair growth to give thick long hair."
20733,20734,Vatika - Enriched Coconut with Hibiscus Hair Oil,Beauty & Hygiene,Hair Care,Dabur Vatika,150.3,167.0,Hair Oil & Serum,4.2,"Start using Dabur Vatika Enriched Coconut Oil with a hibiscus hair oil to control hair fall, the all-natural way. Hibiscus extracts promote strong hair to help control hair fall and maintain the natural colour of your hair while coconut deeply nourishes your scalp to encourage healthy hair growth."
20842,20843,Oil Replacement,Beauty & Hygiene,Hair Care,Pantene,190.0,190.0,Hair Oil & Serum,4.3,"Still using old remedies for your hair issues? Todays problems need todays solutions. 
Pantene Oil Replacement constitutes of a revolutionary formula which gives 2X stronger hair than ordinary hair oil. Pantene has invented the incredible Oil Replacement to give your hair the multiple benefits of natural oil without the inconvenience and hassle. It nourishes hair, reduces hair fall due to breakage and helps repair damage. It also acts as a final touch leaving hair soft and smooth. So, you get all the benefits of ordinary hair serums and hair oil-in-creams plus 2X stronger hair. This is because Pantene Oil Replacement is formulated combining the power of oils with Pro-Vitamin science to treat hair, while its creamy texture leaves it smooth without the stickiness of ordinary hair oil.  For Beauty tips, tricks & more visitÃ‚Â https://bigbasket.blog/"
21015,21016,Bringha Oil,Beauty & Hygiene,Hair Care,Indulekha,367.0,432.0,Hair Oil & Serum,4.2,"Indulekha Bringha Oil is an Ayurvedic proprietary medicine recommended for the regulation of hair and scalp conditions like hairfall, dandruff etc. The excellent action of Indulekha Bringha oil is due to the actions of its Ingredients and the special manufacturing procedure of the base oil. During the production of Indulekha Bringha Oil, the Swethakutaja leaves are dipped in pure coconut milk oil (prepared by cold process technology). This prolonged blending process helps to extract the entire medicinal quality of the leaves and thus makes it an effective Ingredient of Indulekha Bringha Oil. Active Ingredients along with the base oil create an excellent combination that is extremely beneficial for hair.Svethakutaja It has anti-inflammatory and anti-dandruff properties. Also known for its antimicrobial properties and hence used for all types of psoriasis (skin disorder) and dandruff.Aloe vera contains enzymes which repairs dead skin cells on the scalp. It promotes hair growth, prevents itching on the scalp, reduces dandruff and conditions your hair. it rejuvenates the hair with its own nutrients, giving it more elasticity and preventing breakage. Neem Provides anti-protozoal, antioxidant, anti-inflammatory and antibacterial properties. Neem helps to treat these conditions of hair and cleanse the scalp for healthy hair growth.Bringharaj Helps to improve hair growth and colour. Its extracts rejuvenates hair keeping the hair lustrous, dark and healthy. It also helps to nurture and condition hair.Amla Richest source of Vitamin C & antioxidants. It helps maintain youthful hair color and retards premature graying and supports the strength of the hair follicles.Virgin Coconut Oil Virgin coconut oil is extracted by the cold compression method. It is higher in vitamin content, antioxidants, minerals, fragrance and even the amount of protein.Features and Benefits:• Contains Ingredient known to grow hair• Contains Ingredient known to Nourishes the Scalp• Contains Ingredient known to reduce dandruff• Applicator: Selfie bottle oil can be directly applied to the scalp• Selfie bottle massages the scalp• Applicator Reduces wastage of oil  For Beauty tips, tricks & more visitÃ‚ https://bigbasket.blog/"
21018,21019,Extra Virgin Organic Coconut Oil,Beauty & Hygiene,Hair Care,Kama Ayurveda,725.0,725.0,Hair Oil & Serum,4.4,"A highly versatile oil that can be used to condition the skin and hair. An ideal moisturiser for the body, it makes the skin smooth and even textured. Applied directly to the skin or hair before washing, Coconut oil makes a very effective conditioning treatment, it soothes dry & sensitive skin or scalp and adds lustre to damaged hair. This oil is highly recommended for baby massages. This Extra Virgin Coconut Oil is 100% organic, pure and cold pressed (processed without heat) to retain its unique balance of nutrients."
21030,21031,Sheetal Oil,Beauty & Hygiene,Hair Care,Patanjali,55.0,55.0,Hair Oil & Serum,4.3,"Sheetal Oil, A product of Patanjali Ayurved. Relief from stress, headache, sleeplessness, body ache, joint pain, hair fall and dandruff. An Ayurvedic proprietary medicine. Apply gently on the affected part for relief. Ingredients: Til oil, Pudina oil, Amla oil, Kapur, Tulsi, Jatamanshi, Ratanjyot, Long oil, Bhringraj & Nilgiri oil.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
21605,21606,Naturals Spanish Olive Hair Oil,Beauty & Hygiene,Hair Care,Dabur Vatika,150.0,150.0,Hair Oil & Serum,4.7,"The new Dabur Vatika Naturals Spanish Olive Hair oil is infused with 7 Ayurvedic herbs. It is specifically formulated for the Indian woman and her hair issues of hair fall. This hair oil helps get strong and long hair, thus promoting hair growth.

Olive Oil is a rich source of monounsaturated fatty acids, vitamin E and powerful antioxidants. Olive awakens dormant hair follicles and increases hair bulb diameter. This strengthens hair from root to tip & reduces hair fall making hair strong and long.

Our Sourcing Process:
Sourced from the best in the world,
Olives from Spain protects against hair fall to enable strong and long hair."
21815,21816,Hair Serum - Revitalising,Beauty & Hygiene,Hair Care,Aroma Magic ,637.5,750.0,Hair Oil & Serum,5.0,"I am 100% free of parabens, petrochemicals, sulphates, alcohol, toxic ingredients, artificial coloring and fragrance. Powered by the potent blend of essential oils of lavender and peppermint along with extracts of sage and fenugreek seed in my formulation, I help to reduce hair fall, strengthen hair roots, increase blood circulation and stimulate hair follicle formations thus paving the way for you to grow long healthy hair."
21826,21827,Anmol Gold Pure Coconut Oil,Beauty & Hygiene,Hair Care,Dabur,159.1,185.0,Hair Oil & Serum,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo"
22164,22165,Hair Oil - Amla,Beauty & Hygiene,Hair Care,Patanjali,40.0,40.0,Hair Oil & Serum,4.2,"For Beauty tips, tricks & more visit https://bigbasket.blog/"
22368,22369,Advansed Jasmine Non - Sticky Coconut Hair Oil,Beauty & Hygiene,Hair Care,Parachute ,40.0,40.0,Hair Oil & Serum,4.3,"Parachute Advansed Jasmine coconut hair oil gives your hair the strength and nourishment it needs. This non-sticky hair oil comes with the fragrance of jasmine for a soothing, pleasant experience and Vitamin E improves your scalp and hair health. It leaves your hair soft, silky and shiny.
Nourish your hair with this advansed hair oil to fight everyday damage and get strong, silky hair that shines, all day long. For best results, apply parachute advanced jasmine coconut hair oil at night and wash it off in the morning. That gives the oil time to go deep into the roots and nourish your hair from within."
22403,22404,Hair Oil - Stimulate,Beauty & Hygiene,Hair Care,Aroma Magic ,340.0,400.0,Hair Oil & Serum,4.9,"Stimulate Hair Oil from Aroma Magic stimulates the hair roots and increases the blood circulation. It prevents the hair loss and thinning and boosts the hair growth. It improves the hair shine, thickness and overall health of hair."
22919,22920,Coconut Oil,Beauty & Hygiene,Hair Care,Patanjali,75.0,75.0,Hair Oil & Serum,4.1,"This Patanjali Coconut oil does not only promotes healthy and long hair but also can be used to smoothen, soften your cuticles, and dry skin. This is the only coconut is 100 percent pure and comes in both tub and bottle packaging. Use it for mixing with various other oils and mix curry leaves in it for long and strong hair. It is made from the mature and fresh coconuts, Patanjali double filtered coconut oil is a premium cooking and consumer oil that is pure and non-rbd (refined, bleached and deodorized). Patanjali double coconut oil is pure and without any preservatives offering you the great taste, aroma and goodness of natural coconut oil."
23314,23315,Pure Coconut Oil,Beauty & Hygiene,Hair Care,Parachute ,133.0,133.0,Hair Oil & Serum,4.3,"Parachute Coconut oil is India’s No.1 coconut oil that contains the goodness of 100% pure coconut oil. It is made from naturally sun-dried coconuts sourced from the finest farms of our country. The oil is extracted from the nuts through a meticulous hands free process. It goes through a 5 stage purification process and as many as 27 quality tests are performed on the oil so that each bottle that reaches you is 100% pure- EVERY SINGLE TIME.
A tamper-proof seal ensures that the rich aroma of raw coconuts is preserved for a long time. It contains no added chemicals, scent, additives or preservatives and lasts fresh & safe for up to 18 months. It is licensed by FSSAI as an edible grade coconut oil. All this ensures that every bottle of coconut oil adheres to the Parachute promise of being 100% safe and 100% pure. Parachute coconut oil is now available in convenient sizes of 1 Litre and 600ml packs. Parachute Coconut Oil comes from the house of Marico. Marico sells more than 1 billion packs of coconut oil every year."
